protein	contrast	estimate	pvalue
ACYP1	LB+NL+ vs LB-NL+	-0.00998486236002914	0.995542823998076
ACYP2	LB+NL+ vs LB-NL+	0.0572417781492933	0.84452305264399
ADAM10	LB+NL+ vs LB-NL+	-0.0947994787953788	0.784222325725371
ADAM22	LB+NL+ vs LB-NL+	0.0710750949751686	0.565845149931052
ADAM23	LB+NL+ vs LB-NL+	0.13977627112071	0.376167809082368
ADAP1	LB+NL+ vs LB-NL+	0.0556548187910433	0.692519195232113
ADAR	LB+NL+ vs LB-NL+	-0.55981697064326	0.0575249461716844
ADCY2	LB+NL+ vs LB-NL+	-0.0900005422251731	0.731038874158924
ADCY5	LB+NL+ vs LB-NL+	0.615157998243647	0.081727088374155
ADCY9	LB+NL+ vs LB-NL+	0.304514692341417	0.315423031370898
ADD1	LB+NL+ vs LB-NL+	-0.00603751131634384	0.987059420480466
ADD2	LB+NL+ vs LB-NL+	0.125024790415584	0.0739612802860687
ADD3	LB+NL+ vs LB-NL+	0.00379658952114737	0.998398432105519
ADH1B	LB+NL+ vs LB-NL+	-0.545431401434194	0.484507174905284
ADH5	LB+NL+ vs LB-NL+	-0.0735693604374394	0.571212340429785
ADHFE1	LB+NL+ vs LB-NL+	-0.108960481015618	0.807639957347584
ADIRF	LB+NL+ vs LB-NL+	0.0298613654675337	0.984068670452563
ADK	LB+NL+ vs LB-NL+	0.238710824873391	0.0917827999987005
ADO	LB+NL+ vs LB-NL+	-0.152920374584619	0.464500467141087
ADPGK	LB+NL+ vs LB-NL+	0.0738698764339946	0.86930841375994
ADPRHL2	LB+NL+ vs LB-NL+	-0.062956039576895	0.84876376529669
ADSL	LB+NL+ vs LB-NL+	0.185302681756417	0.0792889517202935
ADSS	LB+NL+ vs LB-NL+	-0.174972984766292	0.254238139479352
AFG3L2	LB+NL+ vs LB-NL+	0.0491150561798852	0.814669893374417
AGAP2	LB+NL+ vs LB-NL+	0.335064592068998	0.291784119957344
AGAP3	LB+NL+ vs LB-NL+	0.0365084104096092	0.906048717203049
AGFG1	LB+NL+ vs LB-NL+	0.0337811024434536	0.908623913982997
AGK	LB+NL+ vs LB-NL+	0.0820342673276387	0.619053915912372
AGL	LB+NL+ vs LB-NL+	0.0175289793986725	0.978501866602722
AGPAT1	LB+NL+ vs LB-NL+	0.196739358189312	0.207347287999279
AGPAT3	LB+NL+ vs LB-NL+	0.104833661427424	0.913694832621949
AGPAT5	LB+NL+ vs LB-NL+	0.183612081702261	0.126591381754057
AGPS	LB+NL+ vs LB-NL+	-0.154988030760672	0.110984516214752
AGRN	LB+NL+ vs LB-NL+	0.0250813172870141	0.955577571341295
AGT	LB+NL+ vs LB-NL+	-0.119795240600605	0.773245727867137
AHCY	LB+NL+ vs LB-NL+	0.13291106360991	0.0786485471699905
AHCYL1	LB+NL+ vs LB-NL+	-0.0244015592552646	0.924134308994836
AHCYL2	LB+NL+ vs LB-NL+	-0.0395368806392019	0.802119078191195
AHNAK	LB+NL+ vs LB-NL+	0.0418986276284969	0.952474919113958
AHNAK2	LB+NL+ vs LB-NL+	-0.14454979836619	0.794714331124504
AHSA1	LB+NL+ vs LB-NL+	-0.197668062816866	0.00333435462331033
AIDA	LB+NL+ vs LB-NL+	-0.0792014042377656	0.745760909582815
AIF1L	LB+NL+ vs LB-NL+	-0.125809001902364	0.648015800121831
AIFM1	LB+NL+ vs LB-NL+	-0.0241396280688839	0.848336629845763
AIMP1	LB+NL+ vs LB-NL+	0.07653314443737	0.874922556248027
AIMP2	LB+NL+ vs LB-NL+	-0.137033062512087	0.477696678448908
AIP	LB+NL+ vs LB-NL+	-0.00800132208072012	0.993938258769015
AK1	LB+NL+ vs LB-NL+	-0.0737740242427045	0.655905915519101
AK2	LB+NL+ vs LB-NL+	-0.0983491371071998	0.548850219982923
AK3	LB+NL+ vs LB-NL+	-0.129195196906782	0.0462432576288657
AK4	LB+NL+ vs LB-NL+	0.00779674178804097	0.992908222043586
AK5	LB+NL+ vs LB-NL+	-0.118101817646889	0.670314058704017
AKAP1	LB+NL+ vs LB-NL+	-0.104033641037186	0.738788405850889
AKAP12	LB+NL+ vs LB-NL+	-0.270831085532729	0.240313026438958
AKR1A1	LB+NL+ vs LB-NL+	0.0776414779499803	0.788763630246649
AKR1B1	LB+NL+ vs LB-NL+	0.128520134914452	0.137516618732943
AKR1C3	LB+NL+ vs LB-NL+	0.127153128504512	0.792228240657066
AKR7A2	LB+NL+ vs LB-NL+	-0.0378298981628195	0.899327450441834
AKR7A3	LB+NL+ vs LB-NL+	-0.130825287378981	0.0241302334284105
ALAD	LB+NL+ vs LB-NL+	0.134376105197084	0.280155112200215
ALB	LB+NL+ vs LB-NL+	0.202498205756899	0.681707275563948
ALCAM	LB+NL+ vs LB-NL+	-0.0106148074696349	0.977184503929505
ALDH18A1	LB+NL+ vs LB-NL+	0.0777114871319516	0.611187322947879
ALDH1A1	LB+NL+ vs LB-NL+	0.176667648786577	0.43013210899029
ALDH1B1	LB+NL+ vs LB-NL+	-0.128538330455453	0.848013397897856
ALDH1L1	LB+NL+ vs LB-NL+	-0.158040228861801	0.23941451121474
ALDH2	LB+NL+ vs LB-NL+	-0.0632950610363612	0.417088348082129
ALDH3A2	LB+NL+ vs LB-NL+	0.196049188529209	0.122554645062691
ALDH4A1	LB+NL+ vs LB-NL+	-0.00610692319012358	0.998348403692111
ALDH5A1	LB+NL+ vs LB-NL+	-0.0239565742795594	0.917076291137028
ALDH6A1	LB+NL+ vs LB-NL+	-0.071473562553048	0.734955851263134
ALDH7A1	LB+NL+ vs LB-NL+	-0.16337128100837	0.344731907438607
ALDH9A1	LB+NL+ vs LB-NL+	-0.0110627777624503	0.988696182490797
ALDOA	LB+NL+ vs LB-NL+	0.1216529816587	0.0174706801131035
ALDOC	LB+NL+ vs LB-NL+	-0.119247024496665	0.343977746322386
AMBP	LB+NL+ vs LB-NL+	-0.157249460261969	0.788356039097559
AMER2	LB+NL+ vs LB-NL+	-0.147975184681782	0.884777781172591
AMPD2	LB+NL+ vs LB-NL+	0.368717604034412	0.0123509708601273
AMPD3	LB+NL+ vs LB-NL+	-0.07381451851385	0.889868063494228
AMPH	LB+NL+ vs LB-NL+	-0.0550802043745445	0.776081045142337
ANK1	LB+NL+ vs LB-NL+	0.102014558146616	0.717788977619811
ANK2	LB+NL+ vs LB-NL+	0.179916418552242	0.048186761498816
ANK3	LB+NL+ vs LB-NL+	-0.00574530340739437	0.997797576713631
ANKFY1	LB+NL+ vs LB-NL+	-0.119575738759549	0.19140358405641
ANKMY2	LB+NL+ vs LB-NL+	0.0614721933652491	0.864990054965847
ANKRD63	LB+NL+ vs LB-NL+	0.0811993316493587	0.911283319251407
ANKS1B	LB+NL+ vs LB-NL+	-0.024544586015051	0.990880805541603
ANLN	LB+NL+ vs LB-NL+	-0.255313485884297	0.255956686092497
ANO3	LB+NL+ vs LB-NL+	0.368464332124247	0.435920317258125
ANO6	LB+NL+ vs LB-NL+	-0.0430001963031091	0.948834644327453
ANP32A	LB+NL+ vs LB-NL+	-0.230493611914583	0.107307991303145
ANP32B	LB+NL+ vs LB-NL+	-0.101357161309654	0.688015958331303
ANXA1	LB+NL+ vs LB-NL+	0.0504180424176136	0.985796573595782
ANXA11	LB+NL+ vs LB-NL+	0.117348768543365	0.610162955835286
ANXA2	LB+NL+ vs LB-NL+	-0.0369887093800264	0.978263661674121
ANXA3	LB+NL+ vs LB-NL+	-0.250200415473961	0.0135067113803939
ANXA4	LB+NL+ vs LB-NL+	0.00968974373249457	0.99540091975546
ANXA5	LB+NL+ vs LB-NL+	-0.223425945207171	0.263800598675797
ANXA6	LB+NL+ vs LB-NL+	0.0921073494333142	0.374012881012651
ANXA7	LB+NL+ vs LB-NL+	0.0242382933088516	0.943909029764207
AP1B1	LB+NL+ vs LB-NL+	-0.024041880601183	0.889756569928098
AP1G1	LB+NL+ vs LB-NL+	-0.0449131662860299	0.629430210759961
AP1M1	LB+NL+ vs LB-NL+	-0.100789671171242	0.440593269550715
AP1S1	LB+NL+ vs LB-NL+	0.116871874389879	0.528584664428136
AP2A1	LB+NL+ vs LB-NL+	0.0674933407397792	0.213750949403262
AP2A2	LB+NL+ vs LB-NL+	0.107977859103796	0.200709449734745
AP2B1	LB+NL+ vs LB-NL+	0.0960910476584801	0.132548300142656
AP2M1	LB+NL+ vs LB-NL+	0.0799270213074909	0.179752066435153
AP2S1	LB+NL+ vs LB-NL+	0.125758171762822	0.0357018912133522
AP3B2	LB+NL+ vs LB-NL+	0.144513248667077	0.129851105929885
AP3D1	LB+NL+ vs LB-NL+	0.142645344282588	0.0575237527012208
AP3M1	LB+NL+ vs LB-NL+	0.124486150887781	0.556376933490164
AP3M2	LB+NL+ vs LB-NL+	0.144448586776427	0.339417996984006
AP3S1	LB+NL+ vs LB-NL+	0.0305384286618352	0.868006044908412
APBA1	LB+NL+ vs LB-NL+	0.0793027969782899	0.748270924036859
APBB1	LB+NL+ vs LB-NL+	0.000119335339262415	0.999999276329531
APCS	LB+NL+ vs LB-NL+	-0.122262472404081	0.944807958108185
APEH	LB+NL+ vs LB-NL+	0.0158725742596436	0.949935218870803
APEX1	LB+NL+ vs LB-NL+	-0.250164385766944	0.0567095169866012
APLP1	LB+NL+ vs LB-NL+	0.0331620804442531	0.936766404183667
APLP2	LB+NL+ vs LB-NL+	0.0262562383425939	0.971663191175778
APMAP	LB+NL+ vs LB-NL+	-0.0760209822186014	0.295021143298109
APOA1	LB+NL+ vs LB-NL+	0.124496187508121	0.917260582236863
APOA1BP	LB+NL+ vs LB-NL+	0.0207856476675322	0.940651023548804
APOA2	LB+NL+ vs LB-NL+	0.122646171953211	0.943842494531593
APOB	LB+NL+ vs LB-NL+	0.512699084601043	0.345259759085638
APOD	LB+NL+ vs LB-NL+	0.0505841768607305	0.935858732740441
APOE	LB+NL+ vs LB-NL+	-0.0347239810220316	0.921615713190947
APOH	LB+NL+ vs LB-NL+	0.0697064198322836	0.956349605990595
APOL2	LB+NL+ vs LB-NL+	-0.0818724797848778	0.902185165303146
APOO	LB+NL+ vs LB-NL+	-0.210894296971848	0.171255564020597
APOOL	LB+NL+ vs LB-NL+	0.0200120926324153	0.976859464530069
APP	LB+NL+ vs LB-NL+	0.102678511476665	0.345346925675195
APPL1	LB+NL+ vs LB-NL+	-0.098865190950206	0.131143273986951
APRT	LB+NL+ vs LB-NL+	0.14348100221247	0.167209906803232
AQP1	LB+NL+ vs LB-NL+	-0.00703337629525818	0.999706941534902
AQP4	LB+NL+ vs LB-NL+	-0.358739001181113	0.0212446181995986
ARCN1	LB+NL+ vs LB-NL+	-0.152092560813571	0.0776807978627755
ARF4	LB+NL+ vs LB-NL+	0.113205826654853	0.225921386849578
ARF5	LB+NL+ vs LB-NL+	0.0309260323997029	0.970684044280673
ARF6	LB+NL+ vs LB-NL+	-0.128725459196393	0.284329546477241
ARFGAP1	LB+NL+ vs LB-NL+	0.177631684569357	0.185522450124045
ARFGEF2	LB+NL+ vs LB-NL+	0.0222539515088792	0.973860876564125
ARFGEF3	LB+NL+ vs LB-NL+	0.192116126992889	0.0863022772469696
ARFIP1	LB+NL+ vs LB-NL+	-0.00380461263622827	0.999700437516052
ARFIP2	LB+NL+ vs LB-NL+	-0.0948320885114724	0.587212374781287
ARHGAP1	LB+NL+ vs LB-NL+	0.0973587613415186	0.781434185985067
ARHGAP21	LB+NL+ vs LB-NL+	0.145095457382773	0.671971141601772
ARHGAP23	LB+NL+ vs LB-NL+	-0.0300910680723568	0.946174358016308
ARHGAP35	LB+NL+ vs LB-NL+	-0.064665800818604	0.827072994197115
ARHGAP44	LB+NL+ vs LB-NL+	0.0341734783660665	0.935050724259387
ARHGDIA	LB+NL+ vs LB-NL+	0.151695925301648	0.201412743628574
ARHGDIB	LB+NL+ vs LB-NL+	-0.0722268961025814	0.814667251646543
ARHGEF11	LB+NL+ vs LB-NL+	0.147360039375994	0.430255934861944
ARHGEF2	LB+NL+ vs LB-NL+	0.14901952753787	0.572734579271964
ARHGEF6	LB+NL+ vs LB-NL+	-0.016851304260294	0.990793830377809
ARHGEF7	LB+NL+ vs LB-NL+	0.125331062043471	0.127119030045372
ARL1	LB+NL+ vs LB-NL+	-0.210734605974191	0.447670566684335
ARL2	LB+NL+ vs LB-NL+	0.0628842017056515	0.81481142237806
ARL3	LB+NL+ vs LB-NL+	-0.0246994974566076	0.973558413963915
ARL6	LB+NL+ vs LB-NL+	-0.196978542503448	0.112756537432764
ARL6IP1	LB+NL+ vs LB-NL+	0.00226212550250799	0.99985460467806
ARL6IP5	LB+NL+ vs LB-NL+	0.141431214894568	0.0448228033253338
ARL8A	LB+NL+ vs LB-NL+	0.155024822451505	0.177218117069919
ARL8B	LB+NL+ vs LB-NL+	0.116254090593796	0.488148887973871
ARMC1	LB+NL+ vs LB-NL+	0.108557228072975	0.50519404284002
ARMCX3	LB+NL+ vs LB-NL+	0.101234782310085	0.532437692612085
ARMT1	LB+NL+ vs LB-NL+	0.278189092459447	0.12083894221552
ARPC1A	LB+NL+ vs LB-NL+	0.155194436201632	0.0154646008024093
ARPC2	LB+NL+ vs LB-NL+	0.162256699117062	0.0653429862076519
ARPC3	LB+NL+ vs LB-NL+	0.143164259325294	0.117908395156233
ARPC4	LB+NL+ vs LB-NL+	0.158259753604151	0.0647525854087123
ARPC5	LB+NL+ vs LB-NL+	0.0298608573310717	0.926769996847739
ARPC5L	LB+NL+ vs LB-NL+	0.267475534590196	0.022518110586117
ARPP19	LB+NL+ vs LB-NL+	0.0715172887874139	0.838956604160051
ARPP21	LB+NL+ vs LB-NL+	0.117663413542188	0.83405318612231
ARRB1	LB+NL+ vs LB-NL+	-0.0675486082484984	0.52794285220823
ARSA	LB+NL+ vs LB-NL+	0.178998533236002	0.370570637426272
ARSB	LB+NL+ vs LB-NL+	-0.302732084091178	0.482540062570743
ARVCF	LB+NL+ vs LB-NL+	-0.147432227537099	0.906328087275001
ASAH1	LB+NL+ vs LB-NL+	-0.131140148868677	0.144907643478458
ASMTL	LB+NL+ vs LB-NL+	-0.0717013226246216	0.822595771701095
ASNA1	LB+NL+ vs LB-NL+	0.0404265959348486	0.636776684567171
ASNS	LB+NL+ vs LB-NL+	-0.171080444364479	0.622539992490267
ASPA	LB+NL+ vs LB-NL+	-0.0790470774844647	0.895910006723645
ASPH	LB+NL+ vs LB-NL+	-0.0249045169007882	0.961453294252868
ASRGL1	LB+NL+ vs LB-NL+	-0.138746758368543	0.365270070007219
ASS1	LB+NL+ vs LB-NL+	-0.0187584162287201	0.997103131268429
ASTN1	LB+NL+ vs LB-NL+	-0.00788674482020602	0.997821102811198
ATAD1	LB+NL+ vs LB-NL+	-0.00936423298890676	0.998304104547832
ATAD3A	LB+NL+ vs LB-NL+	0.0301171269259234	0.947209325923119
ATAT1	LB+NL+ vs LB-NL+	-0.0446726595367359	0.962261020238442
ATCAY	LB+NL+ vs LB-NL+	0.280725254224424	0.101300125666422
ATG3	LB+NL+ vs LB-NL+	0.0498606870036897	0.903957287189076
ATG4B	LB+NL+ vs LB-NL+	-0.172902575220686	0.0949030669938981
ATG5	LB+NL+ vs LB-NL+	0.200028291817208	0.175163791693749
ATG7	LB+NL+ vs LB-NL+	-0.0428168636180102	0.795223772394653
ATIC	LB+NL+ vs LB-NL+	0.0326390801303165	0.795460587383027
ATL1	LB+NL+ vs LB-NL+	0.184743360682691	0.0897322703397931
ATL2	LB+NL+ vs LB-NL+	0.0603867283826342	0.932529735297608
ATL3	LB+NL+ vs LB-NL+	-0.124060881181744	0.635201393573172
ATOX1	LB+NL+ vs LB-NL+	0.137566895283814	0.344074544287713
ATP1A1	LB+NL+ vs LB-NL+	0.18932644906523	0.0113971292656516
ATP1A2	LB+NL+ vs LB-NL+	-0.0726850350507131	0.685297220688895
ATP1A3	LB+NL+ vs LB-NL+	-0.148831519286977	0.310035248394597
ATP1B1	LB+NL+ vs LB-NL+	-0.0216815530552041	0.959516880755789
ATP1B2	LB+NL+ vs LB-NL+	-0.0327991400059107	0.931481656933342
ATP1B3	LB+NL+ vs LB-NL+	-0.179234672538073	0.272169425585405
ATP2A2	LB+NL+ vs LB-NL+	0.253537079162603	0.0786569821972914
ATP2B1	LB+NL+ vs LB-NL+	0.258645089277831	0.170182720143583
ATP2B2	LB+NL+ vs LB-NL+	0.216562884158844	0.112132171807692
ATP2B3	LB+NL+ vs LB-NL+	0.259984126059365	0.0724927975531506
ATP2B4	LB+NL+ vs LB-NL+	-0.143395294396915	0.328099544248199
ATP2C1	LB+NL+ vs LB-NL+	0.0853589233783928	0.666132706785953
ATP5A1	LB+NL+ vs LB-NL+	0.0228644195635897	0.902735968785967
ATP5B	LB+NL+ vs LB-NL+	-0.00928359045829991	0.979871395346073
ATP5C1	LB+NL+ vs LB-NL+	0.0202996076853953	0.925406075868024
ATP5D	LB+NL+ vs LB-NL+	0.00663888122798461	0.99434840806455
ATP5EP2	LB+NL+ vs LB-NL+	-0.0625104294683309	0.78303914588337
ATP5F1	LB+NL+ vs LB-NL+	0.0539770085742809	0.615398374710926
ATP5H	LB+NL+ vs LB-NL+	0.0089779853983007	0.990536472420256
ATP5I	LB+NL+ vs LB-NL+	0.0261523083879978	0.885114791038813
ATP5J	LB+NL+ vs LB-NL+	-0.000484848678086468	0.999975509878811
ATP5J2	LB+NL+ vs LB-NL+	-0.0827947635957344	0.424471410897545
ATP5L	LB+NL+ vs LB-NL+	0.0347853576240865	0.847647283096982
ATP5O	LB+NL+ vs LB-NL+	0.00767346384639343	0.988341996387161
ATP5S	LB+NL+ vs LB-NL+	-0.036613750870135	0.893864673754994
ATP6AP1	LB+NL+ vs LB-NL+	0.103717121873481	0.851451254582045
ATP6V0A1	LB+NL+ vs LB-NL+	0.215923001209631	0.279442383674375
ATP6V0C	LB+NL+ vs LB-NL+	0.845908968345065	0.441134876959414
ATP6V0D1	LB+NL+ vs LB-NL+	0.241225342630238	0.178150928691354
ATP6V0D2	LB+NL+ vs LB-NL+	0.193177237759501	0.554041350131033
ATP6V1A	LB+NL+ vs LB-NL+	0.0216849181566219	0.801291480007695
ATP6V1B2	LB+NL+ vs LB-NL+	0.0198705817574236	0.864821693490181
ATP6V1C1	LB+NL+ vs LB-NL+	0.00332319856997201	0.997726822511993
ATP6V1D	LB+NL+ vs LB-NL+	0.0768535348059572	0.429195271920359
ATP6V1E1	LB+NL+ vs LB-NL+	0.0454287697628562	0.675311914850227
ATP6V1F	LB+NL+ vs LB-NL+	-0.00520358207633181	0.998910754560923
ATP6V1G1	LB+NL+ vs LB-NL+	-0.014928776647462	0.993706740663295
ATP6V1G2	LB+NL+ vs LB-NL+	0.110610587657846	0.296860175097349
ATP6V1H	LB+NL+ vs LB-NL+	0.0252051102077263	0.832617774530785
ATP8A1	LB+NL+ vs LB-NL+	0.563915965305404	0.0702828840592404
ATP9A	LB+NL+ vs LB-NL+	0.0614299421731888	0.809621320663389
ATPAF1	LB+NL+ vs LB-NL+	-0.0816660445309927	0.635765949892307
ATPIF1	LB+NL+ vs LB-NL+	-0.0302699535107997	0.989555189808119
ATXN10	LB+NL+ vs LB-NL+	-0.200643897444442	0.169553132542493
AUH	LB+NL+ vs LB-NL+	0.00790278207973553	0.994828040160931
AVL9	LB+NL+ vs LB-NL+	0.0318950096459827	0.968501054964204
B2M	LB+NL+ vs LB-NL+	-0.182040105376404	0.372457940587417
B3GALTL	LB+NL+ vs LB-NL+	0.556300495985343	0.0818230708662083
B4GAT1	LB+NL+ vs LB-NL+	0.0400620974927291	0.954253359853668
BAG3	LB+NL+ vs LB-NL+	-0.253476585077792	0.247413660597457
BAG5	LB+NL+ vs LB-NL+	-0.0147907883465319	0.982349317147708
BAG6	LB+NL+ vs LB-NL+	-0.0188672015027755	0.922072374861886
BAIAP2	LB+NL+ vs LB-NL+	0.419775250207378	0.107260386097649
BAIAP3	LB+NL+ vs LB-NL+	-0.153819125791396	0.950649985795896
BANF1	LB+NL+ vs LB-NL+	-0.182572608837891	0.361250524146487
BASP1	LB+NL+ vs LB-NL+	0.0060038423675894	0.998752519184033
BBOX1	LB+NL+ vs LB-NL+	0.0818064355912633	0.8789188401874
BCAM	LB+NL+ vs LB-NL+	0.36244918356215	0.368686795977777
BCAN	LB+NL+ vs LB-NL+	-0.0546157490049286	0.850326007170406
BCAP29	LB+NL+ vs LB-NL+	0.164108855489149	0.185077045512308
BCAP31	LB+NL+ vs LB-NL+	0.158039177758248	0.139588623844433
BCAS1	LB+NL+ vs LB-NL+	-0.138911434761457	0.605446548342849
BCAS3	LB+NL+ vs LB-NL+	0.202483869388756	0.205693181621686
BCAT1	LB+NL+ vs LB-NL+	-0.128996583214325	0.493602958632438
BCKDHA	LB+NL+ vs LB-NL+	-0.123877282384859	0.255039689075752
BCKDHB	LB+NL+ vs LB-NL+	0.0355801640256743	0.945592618366475
BCKDK	LB+NL+ vs LB-NL+	0.0570942721622205	0.950777944062636
BCL2L13	LB+NL+ vs LB-NL+	-0.119473322348671	0.647593226140403
BCLAF1	LB+NL+ vs LB-NL+	-0.311716037028663	0.00343453927334869
BCR	LB+NL+ vs LB-NL+	0.374039465630363	0.183523249835425
BCS1L	LB+NL+ vs LB-NL+	0.0154506057250807	0.983839137877785
BDH1	LB+NL+ vs LB-NL+	0.0299440423113759	0.937455366508748
BDH2	LB+NL+ vs LB-NL+	-0.100003134685832	0.762414631234562
BID	LB+NL+ vs LB-NL+	0.0847881950711811	0.571890229338481
BIN1	LB+NL+ vs LB-NL+	-0.255836291603307	0.0593129359152313
BLMH	LB+NL+ vs LB-NL+	0.132032204569004	0.417620129276861
BLVRA	LB+NL+ vs LB-NL+	-0.0358837828729995	0.919432186618065
BLVRB	LB+NL+ vs LB-NL+	0.0626189660243262	0.769940730901574
BNIP2	LB+NL+ vs LB-NL+	0.0963974261370856	0.614202551565294
BOLA2	LB+NL+ vs LB-NL+	-0.0543712162505153	0.716183531530109
BPGM	LB+NL+ vs LB-NL+	0.320194366096526	0.00624302417983857
BPHL	LB+NL+ vs LB-NL+	-0.35935020351976	0.0502314841770582
BPNT1	LB+NL+ vs LB-NL+	0.165640892781983	0.0201878654045776
BRAF	LB+NL+ vs LB-NL+	0.366650503255098	0.274730763706928
